time,open,high,low,close
2025-12-15T01:42:00-05:00,6905.75,6906.25,6905.75,6905.75
2025-12-15T01:43:00-05:00,6905.75,6906.5,6905.75,6906.5
2025-12-15T01:44:00-05:00,6906.5,6906.75,6906,6906.5
2025-12-15T01:45:00-05:00,6906.75,6907,6906.5,6906.75
2025-12-15T01:46:00-05:00,6907,6907.5,6906.75,6906.75
2025-12-15T01:47:00-05:00,6907.5,6908.5,6907.25,6907.75
2025-12-15T01:48:00-05:00,6908,6908.5,6907.75,6908.25
2025-12-15T01:49:00-05:00,6908.25,6908.75,6908.25,6908.75
2025-12-15T01:50:00-05:00,6908.75,6908.75,6908.25,6908.25
2025-12-15T01:51:00-05:00,6908.25,6908.25,6907.75,6907.75
2025-12-15T01:52:00-05:00,6907.5,6907.5,6906.75,6907
2025-12-15T01:53:00-05:00,6907,6907.25,6906.75,6907
2025-12-15T01:54:00-05:00,6906.75,6906.75,6906.25,6906.5
2025-12-15T01:55:00-05:00,6906.25,6906.5,6906.25,6906.25
2025-12-15T01:56:00-05:00,6906.25,6906.25,6905.5,6905.5
2025-12-15T01:57:00-05:00,6905.75,6906.5,6905.5,6906.5
2025-12-15T01:58:00-05:00,6906.5,6906.5,6906.5,6906.5
2025-12-15T01:59:00-05:00,6906.5,6907,6906.5,6906.75
2025-12-15T02:00:00-05:00,6907,6908.25,6907,6907.75
2025-12-15T02:01:00-05:00,6908,6908.75,6908,6908.25
2025-12-15T02:02:00-05:00,6908.25,6908.25,6907.25,6907.25
2025-12-15T02:03:00-05:00,6907,6907.5,6906.25,6906.75
2025-12-15T02:04:00-05:00,6906.5,6907,6906,6906.25
2025-12-15T02:05:00-05:00,6906.5,6907.25,6906.5,6907.25
2025-12-15T02:06:00-05:00,6907.25,6907.5,6906.25,6906.25
2025-12-15T02:07:00-05:00,6906.25,6906.25,6904.5,6904.75
2025-12-15T02:08:00-05:00,6904.75,6904.75,6904.5,6904.75
2025-12-15T02:09:00-05:00,6904.5,6904.75,6904,6904.25
2025-12-15T02:10:00-05:00,6904.25,6904.5,6903.5,6904
2025-12-15T02:11:00-05:00,6903.75,6904,6903.25,6903.5
2025-12-15T02:12:00-05:00,6903.75,6903.75,6903,6903.25
2025-12-15T02:13:00-05:00,6903.5,6903.5,6903,6903.25
2025-12-15T02:14:00-05:00,6903.25,6904.75,6903.25,6904.5
2025-12-15T02:15:00-05:00,6904.5,6905.75,6904.25,6905.5
2025-12-15T02:16:00-05:00,6905.5,6905.75,6905.25,6905.5
2025-12-15T02:17:00-05:00,6905.5,6905.5,6904.5,6904.75
2025-12-15T02:18:00-05:00,6904.75,6904.75,6904.25,6904.25
2025-12-15T02:19:00-05:00,6904.25,6904.5,6903.5,6904
2025-12-15T02:20:00-05:00,6904,6904,6903.5,6903.75
2025-12-15T02:21:00-05:00,6903.75,6904.5,6903.5,6904
2025-12-15T02:22:00-05:00,6904,6904.5,6904,6904
2025-12-15T02:23:00-05:00,6904,6904,6904,6904
2025-12-15T02:24:00-05:00,6904,6904.25,6904,6904.25
2025-12-15T02:25:00-05:00,6904.5,6904.5,6903.25,6903.25
2025-12-15T02:26:00-05:00,6903.25,6903.25,6901.75,6901.75
2025-12-15T02:27:00-05:00,6901.75,6902,6900.5,6902
2025-12-15T02:28:00-05:00,6902,6902.25,6901.75,6902
2025-12-15T02:29:00-05:00,6902,6902,6901.25,6901.75
2025-12-15T02:30:00-05:00,6901.75,6903,6901.5,6902.5
2025-12-15T02:31:00-05:00,6902.75,6902.75,6900.5,6902.25
2025-12-15T02:32:00-05:00,6902.25,6902.25,6901.25,6902
2025-12-15T02:33:00-05:00,6902,6903.25,6902,6902
2025-12-15T02:34:00-05:00,6902,6903.75,6902,6903.75
2025-12-15T02:35:00-05:00,6903.5,6904,6903.5,6904
2025-12-15T02:36:00-05:00,6904,6904.75,6903.25,6904.5
2025-12-15T02:37:00-05:00,6904.25,6904.25,6902.75,6903.25
2025-12-15T02:38:00-05:00,6903.25,6903.5,6902.75,6903
2025-12-15T02:39:00-05:00,6902.75,6902.75,6902,6902.25
2025-12-15T02:40:00-05:00,6902.25,6902.5,6901.5,6901.75
2025-12-15T02:41:00-05:00,6902,6902,6901.25,6901.75
2025-12-15T02:42:00-05:00,6902,6903.25,6902,6902.25
2025-12-15T02:43:00-05:00,6901.75,6901.75,6900.75,6901.25
2025-12-15T02:44:00-05:00,6901.25,6902.5,6901.25,6902.5
2025-12-15T02:45:00-05:00,6902.5,6902.75,6902,6902
2025-12-15T02:46:00-05:00,6901.75,6902.75,6901.75,6902.5
2025-12-15T02:47:00-05:00,6902.25,6902.75,6901.75,6902
2025-12-15T02:48:00-05:00,6902,6902,6901,6901.75
2025-12-15T02:49:00-05:00,6901.25,6901.75,6901.25,6901.5
2025-12-15T02:50:00-05:00,6901.5,6901.75,6901.25,6901.5
2025-12-15T02:51:00-05:00,6901.5,6901.75,6901.25,6901.5
2025-12-15T02:52:00-05:00,6901.25,6903.25,6901.25,6903.25
2025-12-15T02:53:00-05:00,6903.25,6903.75,6902.5,6903
2025-12-15T02:54:00-05:00,6903,6903.75,6903,6903.75
2025-12-15T02:55:00-05:00,6903.75,6904.25,6903.5,6903.5
2025-12-15T02:56:00-05:00,6903.5,6904,6903.25,6903.5
2025-12-15T02:57:00-05:00,6903.5,6903.5,6902,6902.25
2025-12-15T02:58:00-05:00,6902.5,6904,6902.25,6903.75
2025-12-15T02:59:00-05:00,6903.75,6903.75,6902.5,6902.75
2025-12-15T03:00:00-05:00,6902.75,6903.75,6901.5,6902
2025-12-15T03:01:00-05:00,6901.75,6902.75,6901,6902
2025-12-15T03:02:00-05:00,6902.25,6902.25,6901,6901.25
2025-12-15T03:03:00-05:00,6901.25,6903.25,6900.5,6903.25
2025-12-15T03:04:00-05:00,6903.5,6904.5,6902.25,6902.25
2025-12-15T03:05:00-05:00,6902.5,6904.25,6902,6904.25
2025-12-15T03:06:00-05:00,6904,6906.25,6904,6905.75
2025-12-15T03:07:00-05:00,6905.75,6906,6904.5,6905
2025-12-15T03:08:00-05:00,6904.5,6904.75,6902.75,6903.75
2025-12-15T03:09:00-05:00,6903.75,6904.5,6901,6901.25
2025-12-15T03:10:00-05:00,6901,6901.25,6900.25,6900.75
2025-12-15T03:11:00-05:00,6900.75,6902.5,6900.25,6900.5
2025-12-15T03:12:00-05:00,6900.5,6902.25,6900.5,6901.25
2025-12-15T03:13:00-05:00,6901,6901.25,6899.75,6900.25
2025-12-15T03:14:00-05:00,6899.75,6900.5,6899.25,6900.25
2025-12-15T03:15:00-05:00,6900.25,6900.75,6899,6899.75
2025-12-15T03:16:00-05:00,6899.75,6902,6899.75,6902
2025-12-15T03:17:00-05:00,6902,6903,6901.75,6902
2025-12-15T03:18:00-05:00,6901.75,6903.25,6901.5,6902.75
2025-12-15T03:19:00-05:00,6902.75,6905.25,6902.75,6905
2025-12-15T03:20:00-05:00,6904.75,6905.25,6904.25,6904.5
2025-12-15T03:21:00-05:00,6904.75,6905.25,6904,6904.75
2025-12-15T03:22:00-05:00,6904.75,6905.25,6904.75,6905
2025-12-15T03:23:00-05:00,6904.75,6904.75,6904,6904
2025-12-15T03:24:00-05:00,6904.25,6904.75,6903.5,6903.5
2025-12-15T03:25:00-05:00,6903.75,6905.5,6903.75,6904.75
2025-12-15T03:26:00-05:00,6905,6905.25,6904,6904.5
2025-12-15T03:27:00-05:00,6904.5,6905,6904,6904.25
2025-12-15T03:28:00-05:00,6904.25,6904.5,6904,6904.5
2025-12-15T03:29:00-05:00,6904.75,6905,6904,6904
2025-12-15T03:30:00-05:00,6904.5,6905.75,6903.75,6905.75
2025-12-15T03:31:00-05:00,6906,6907.5,6906,6907
2025-12-15T03:32:00-05:00,6906.75,6907.5,6906.75,6907.25
2025-12-15T03:33:00-05:00,6907,6908.25,6907,6908.25
2025-12-15T03:34:00-05:00,6908,6908.75,6907.25,6907.25
2025-12-15T03:35:00-05:00,6907.5,6908.5,6907.25,6907.5
2025-12-15T03:36:00-05:00,6908,6909.25,6908,6909
2025-12-15T03:37:00-05:00,6909,6909.75,6908.75,6909.25
2025-12-15T03:38:00-05:00,6909.25,6910.5,6908.75,6909.75
2025-12-15T03:39:00-05:00,6909.75,6911,6909.75,6910
2025-12-15T03:40:00-05:00,6910,6910,6909,6909.5
2025-12-15T03:41:00-05:00,6909.5,6911.5,6909.5,6910.75
2025-12-15T03:42:00-05:00,6910.75,6912.25,6910,6911.75
2025-12-15T03:43:00-05:00,6911.5,6912,6910.75,6912
2025-12-15T03:44:00-05:00,6912.25,6912.75,6911.75,6911.75
2025-12-15T03:45:00-05:00,6911.75,6912,6910.5,6912
2025-12-15T03:46:00-05:00,6911.75,6912,6911.25,6911.25
2025-12-15T03:47:00-05:00,6911.75,6912,6911.5,6911.75
2025-12-15T03:48:00-05:00,6911.75,6912.75,6911.75,6912.75
2025-12-15T03:49:00-05:00,6913,6913.5,6912.75,6913.25
2025-12-15T03:50:00-05:00,6913,6913.75,6912,6913.5
2025-12-15T03:51:00-05:00,6913.75,6913.75,6912.75,6913
2025-12-15T03:52:00-05:00,6913,6913,6912,6912.25
2025-12-15T03:53:00-05:00,6912,6912.75,6911.75,6912.5
2025-12-15T03:54:00-05:00,6912.5,6912.5,6911.75,6912.25
2025-12-15T03:55:00-05:00,6912,6912.25,6911.5,6911.5
2025-12-15T03:56:00-05:00,6911.25,6912,6911,6912
2025-12-15T03:57:00-05:00,6912,6912.25,6911.75,6912
2025-12-15T03:58:00-05:00,6911.75,6911.75,6911,6911.75
2025-12-15T03:59:00-05:00,6911.5,6911.75,6911,6911.75
2025-12-15T04:00:00-05:00,6911.5,6911.75,6909.5,6910
2025-12-15T04:01:00-05:00,6910,6910.25,6909.5,6909.5
2025-12-15T04:02:00-05:00,6909.5,6910.25,6909.25,6909.75
2025-12-15T04:03:00-05:00,6909.75,6911.5,6909.75,6911.25
2025-12-15T04:04:00-05:00,6911.25,6912.25,6911,6912.25
2025-12-15T04:05:00-05:00,6912,6913,6912,6913
2025-12-15T04:06:00-05:00,6913,6913.5,6912.75,6912.75
2025-12-15T04:07:00-05:00,6913,6913,6912.5,6912.5
2025-12-15T04:08:00-05:00,6912.75,6912.75,6910.75,6912.25
2025-12-15T04:09:00-05:00,6912,6912,6911,6911.25
2025-12-15T04:10:00-05:00,6911,6911.75,6910.75,6911.75
2025-12-15T04:11:00-05:00,6911.75,6912,6910.5,6912
2025-12-15T04:12:00-05:00,6912.25,6914,6912,6914
2025-12-15T04:13:00-05:00,6914,6914.75,6913.75,6914.25
